015,3,8000,50,0.5122635364532471,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,8000,50,0.5026121139526367,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,8000,50,0.526343584060669,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,8000,56,0.5490884780883789,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,8000,56,1.1284003257751465,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,8000,49,0.5535082817077637,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,8000,50,0.5478134155273438,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,8000,50,0.6331257820129395,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,8000,50,0.6480445861816406,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,8000,53,0.6457927227020264,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,57,0.6401724815368652,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,8000,68,0.6160426139831543,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,8000,57,0.4532473087310791,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,1,8000,58,0.46503448486328125,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
005,2,8000,52,0.45577192306518555,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,8000,66,0.44411349296569824,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,8000,50,0.4606637954711914,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,8000,62,0.4772169589996338,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
010,1,8000,64,0.47788548469543457,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,64,0.7792994976043701,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,8000,66,1.0727238655090332,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,8000,52,0.9941558837890625,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,8000,52,1.0464246273040771,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,8000,64,0.5176324844360352,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,8000,50,1.019801139831543,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,8000,66,1.014146327972412,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,8000,67,1.0179932117462158,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,8000,50,0.5364832878112793,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,8000,61,1.0959222316741943,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,8000,56,0.5477876663208008,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,8000,50,0.544574499130249,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,8000,44,0.5387001037597656,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,8000,56,0.6245536804199219,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,8000,70,0.6405074596405029,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,8000,53,1.2934231758117676,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,57,0.645209789276123,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,8000,50,0.6245293617248535,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,8000,57,0.9225056171417236,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,1,8000,58,0.9683148860931396,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
005,2,8000,50,0.4654417037963867,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,8000,66,0.44515347480773926,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,8000,58,0.46855688095092773,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,8000,56,1.019388198852539,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,8000,64,1.0272760391235352,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,64,0.4703335762023926,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,8000,66,0.47314453125,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,8000,56,0.4634239673614502,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,8000,52,0.5248920917510986,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,8000,50,0.5303983688354492,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,2,8000,53,0.5076830387115479,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,8000,66,0.5146911144256592,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,8000,66,0.49691176414489746,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,8000,50,1.0717618465423584,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,8000,50,0.5496582984924316,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,2,8000,47,0.556555986404419,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,8000,67,0.564096212387085,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
020,4,8000,67,1.1143298149108887,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,8000,56,0.6270248889923096,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,8000,50,0.6482439041137695,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,8000,53,1.1511118412017822,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,50,0.6398699283599854,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,4,8000,50,0.6271870136260986,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,8000,50,1.8911035060882568,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,8000,65,0.9401538372039795,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,8000,71,0.9563510417938232,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,8000,52,0.9684371948242188,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,8000,74,0.9795224666595459,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,8000,67,3.069730758666992,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,1,8000,70,1.5536279678344727,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,8000,73,2.249046564102173,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,3,8000,50,3.1685140132904053,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,8000,73,1.5003371238708496,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,0,8000,69,0.9434926509857178,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,61,0.9425649642944336,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,50,0.9377079010009766,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,8000,68,0.9583957195281982,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,8000,50,0.9737808704376221,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,8000,41,1.551184892654419,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,1,8000,72,1.5663363933563232,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,8000,68,1.5340664386749268,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,3,8000,67,2.8683879375457764,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,4,8000,69,1.5403902530670166,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,8000,69,0.937061071395874,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,65,0.9563846588134766,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,8000,58,0.953031063079834,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,8000,50,0.9712629318237305,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,8000,50,0.9717051982879639,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,8000,41,1.540569543838501,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,1,8000,50,1.559781789779663,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,8000,70,1.542820930480957,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
100,3,8000,50,1.5528361797332764,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,8000,69,1.54522705078125,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,8000,60,0.9362947940826416,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,8000,61,1.9800441265106201,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,71,1.3743395805358887,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
