015,3,0,62,0.4353904724121094,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
015,4,0,62,0.4645674228668213,{'C': 0.23357214690901212, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
020,0,0,66,0.4546830654144287,{'C': 0.004832930238571752, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
020,1,0,68,0.7342429161071777,{'C': 0.23357214690901212, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
020,2,0,62,0.6340987682342529,{'C': 0.23357214690901212, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
020,3,0,68,0.6391315460205078,{'C': 0.23357214690901212, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
020,4,0,68,0.6923630237579346,{'C': 10000.0, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
030,0,0,67,0.6575596332550049,{'C': 0.0018329807108324356, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
030,1,0,67,0.5020716190338135,{'C': 0.0006951927961775605, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
030,2,0,76,0.5810272693634033,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
030,3,0,71,0.5162932872772217,{'C': 0.23357214690901212, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
030,4,0,65,0.7766056060791016,{'C': 0.00026366508987303583, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
060,0,0,68,1.231407642364502,{'C': 0.00026366508987303583, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
060,1,0,75,1.4185295104980469,{'C': 0.012742749857031334, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
060,2,0,74,1.3154969215393066,{'C': 0.012742749857031334, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
060,3,0,70,1.6596531867980957,{'C': 0.23357214690901212, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
060,4,0,72,1.5267577171325684,{'C': 0.23357214690901212, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
100,0,0,74,2.9237618446350098,{'C': 0.08858667904100823, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
100,1,0,74,3.687788486480713,{'C': 0.08858667904100823, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
100,2,0,70,2.948312282562256,{'C': 0.0006951927961775605, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
100,3,0,74,3.916236162185669,{'C': 0.012742749857031334, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
100,4,0,74,3.692054271697998,{'C': 0.004832930238571752, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
005,0,0,57,3.0229227542877197,{'C': 4.281332398719396, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,1,0,64,0.5198485851287842,{'C': 1.623776739188721, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
005,2,0,56,0.4721803665161133,{'C': 545.5594781168514, 'max_iter': 10000, 'penalty': 'l1', 'solver': 'liblinear'}
005,3,0,67,0.5369555950164795,{'C': 0.615848211066026, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,4,0,59,0.5931975841522217,{'C': 4.281332398719396, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,0,0,50,0.5408406257629395,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,1,0,64,0.6372909545898438,{'C': 0.615848211066026, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,2,0,69,0.6800320148468018,{'C': 1.623776739188721, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,3,0,50,0.5646955966949463,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,4,0,64,0.5070300102233887,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
015,0,0,63,0.49349093437194824,{'C': 78.47599703514607, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
015,1,0,70,0.5373547077178955,{'C': 0.23357214690901212, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
015,2,0,68,0.4859294891357422,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
015,3,0,66,0.6088550090789795,{'C': 0.615848211066026, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
015,4,0,61,0.5245504379272461,{'C': 10000.0, 'max_iter': 10000, 'penalty': 'l1', 'solver': 'liblinear'}
020,0,0,70,0.5695569515228271,{'C': 0.23357214690901212, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
020,1,0,66,0.4847874641418457,{'C': 0.615848211066026, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
020,2,0,66,0.37078309059143066,{'C': 0.0001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
020,3,0,70,0.44895505905151367,{'C': 0.615848211066026, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
