ParticipantID,Condition,Trial,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,Time21,Time22,Time23,Time24,Time25,Time26,Time27,Time28,Time29,Time30,Time31,Time32,Time33,Time34,Time35,Time36,Time37,Time38,Time39,Time40,Time41,Time42,Time43,Time44,Time45,Time46,Time47,Time48,Time49,Time50,Time51,Time52,Time53,Time54,Time55,Time56,Time57,Time58,Time59,Time60,Time61,Time62,Time63,Time64,Time65,Time66,Time67,Time68,Time69,Time70,Time71,Time72,Time73,Time74,Time75,Time76,Time77,Time78,Time79,Time80,Time81,Time82,Time83,Time84,Time85,Time86,Time87,Time88,Time89,Time90,Time91,Time92,Time93,Time94,Time95,Time96,Time97,Time98,Time99,Time100
20.000000,0.000000,1.000000,-5.427788,-9.250176,-7.107825,-4.934994,0.950541,6.633528,4.240715,6.901270,7.006290,1.481991,3.102313,7.767416,-0.647795,-2.583364,2.623359,-3.022608,-10.771624,-3.664206,3.628632,3.397147,8.827761,10.812477,7.058696,4.208926,0.266595,-3.750039,-1.209812,0.940653,-0.883089,4.792703,7.610007,6.492442,13.924944,14.364991,16.779821,28.112075,25.211734,8.695192,5.401952,9.440682,8.835909,3.280832,-1.441095,0.267883,6.554237,11.709732,14.678620,11.625670,4.851733,10.176801,12.629412,5.496330,4.241505,9.832084,4.662560,-7.346119,-8.025440,1.362565,1.468292,-1.071537,9.387390,15.172328,13.667032,15.177223,16.670122,15.369072,7.673608,4.850776,12.998102,24.354686,25.897774,24.442807,20.997739,19.010629,17.201924,12.826732,9.221301,0.785175,5.038982,16.818307,16.955555,18.670759,19.522635,9.214328,1.648668,0.818656,6.512301,8.039379,1.743561,-0.595377,-2.168270,2.918778,6.509182,5.444714,15.154735,18.324748,14.867942,12.714580,7.917453,6.852710
20.000000,0.000000,2.000000,6.672471,7.153158,-2.260673,-3.737934,1.708081,7.314498,12.149111,8.244883,-0.791282,-4.950804,-1.785569,0.034298,-0.427410,-6.730299,-13.873327,-8.841602,3.030636,3.454548,-3.211631,-0.053640,11.483592,22.364234,20.459710,4.873241,-0.949307,12.987347,27.342036,28.168468,21.861890,18.820581,16.810583,9.152641,9.523565,16.374695,14.074278,14.949293,25.154121,24.525963,9.040864,5.348464,15.403212,14.433351,7.682941,16.790533,24.016892,22.763367,23.172628,18.595245,16.247421,8.550772,0.875461,11.686017,27.043391,25.383762,18.825700,18.958910,21.163247,17.123715,8.805232,8.333299,6.964031,4.680268,4.868815,5.525359,8.274551,7.271638,10.922481,8.354840,-3.894732,-7.163181,3.334724,14.999558,14.254306,3.661278,-3.537069,-0.127667,7.489550,13.101914,11.919424,11.904572,14.785827,11.955563,11.614999,15.333889,17.272255,14.246541,6.111042,4.613578,11.232804,16.192680,19.855634,17.208812,11.085369,14.181063,17.628315,15.127449,10.079004,7.215967,9.572768,8.046624
20.000000,0.000000,3.000000,2.936763,-5.057509,0.984106,8.968500,13.625622,11.722750,-1.663523,-12.527435,-3.899101,1.956766,-3.913012,-5.615623,-1.031340,3.159146,-0.895405,-6.441065,0.046226,6.728360,-0.130509,-10.629350,-13.265907,-1.347820,7.907251,7.095621,1.889460,-4.219571,3.448663,15.581008,7.914839,-6.890593,1.316709,21.140157,26.444206,19.371977,19.321507,26.184012,22.739386,17.435087,14.021747,15.030075,18.910877,18.134757,15.345270,14.436134,12.461507,7.207831,1.238676,1.357690,14.771713,20.054248,12.824248,10.964756,6.104349,-3.200432,-4.807933,-5.391292,-3.274462,12.739350,19.386835,11.763581,7.859686,8.105460,2.798125,-3.176849,2.372863,14.251794,18.222916,16.664154,18.087924,9.023726,-6.680488,-16.811439,-18.653207,-16.644088,-12.310929,-6.786735,-5.239248,-4.061700,-4.116431,-9.145825,-8.906500,-16.707969,-26.899482,-21.406044,-13.393157,1.000597,10.245555,4.811100,0.303703,4.228593,2.597031,2.408511,3.576878,7.527807,15.641598,14.176427,12.124096,9.674670,5.416902,7.874967
20.000000,0.000000,4.000000,-11.728646,-16.371512,-14.924479,-13.391678,-3.173943,6.846246,-1.148094,1.938412,10.185436,2.560986,-2.007418,7.525156,16.108666,11.094240,-0.266796,-3.821288,6.778613,11.408567,5.288445,3.114069,3.041583,0.261133,-2.964779,-7.524106,-7.134314,-5.874236,-3.834618,-2.414086,-6.009859,-1.144586,10.073958,5.528426,-5.845021,-0.800304,21.265559,33.504047,23.388432,15.425960,23.872949,31.473763,23.684967,12.136143,5.672036,3.425479,14.183259,16.851886,16.779208,29.742272,36.408106,25.877637,11.141274,10.371799,13.719109,19.682153,29.468255,23.825765,2.906978,-1.556934,6.289278,8.039680,9.120969,8.521626,13.694010,24.349633,15.749092,6.898747,18.493475,21.771551,10.146135,5.412121,10.036384,13.643704,6.773584,-8.712355,-13.617465,-6.956625,0.021848,8.880998,12.133180,3.658566,2.164361,2.548748,-3.127349,-10.198851,-13.407795,1.456643,16.225948,2.552248,-14.106860,-16.485024,-16.296596,-16.971376,-18.411014,-14.205849,-7.564831,-2.985709,-1.050499,-8.854709,-16.518277,-18.838224
20.000000,0.000000,5.000000,7.568046,1.594994,-2.918028,-4.029495,3.829583,5.716373,6.294438,2.660622,2.961807,4.082546,-3.076461,-8.584990,-9.959873,-7.217295,-4.002076,1.297265,8.778375,5.556291,-2.401427,-1.702504,-1.925466,-2.958305,-8.958042,-5.326821,4.541256,3.037021,2.442496,2.764514,-1.894127,-4.870478,-3.779407,-4.472025,1.413043,10.249461,7.892822,1.775371,-4.478534,-12.816578,-12.373337,-2.986301,-0.891245,-4.566081,-1.935500,7.347580,15.453431,12.430730,-1.940102,-1.874301,9.792483,19.972137,26.439362,21.216643,15.191432,14.445568,9.413877,1.395749,5.300265,10.302937,3.042679,3.456002,6.217220,-1.566785,-10.998269,-19.219233,-17.921304,-8.306431,-6.524178,-4.979759,-5.516250,-13.471463,-16.345371,-13.318482,-13.148105,-15.300019,-20.019945,-24.569903,-27.191774,-21.894036,-8.867550,-3.549921,-12.567049,-17.287964,-9.099651,-4.623508,-9.583092,-15.682789,-12.932052,-2.832352,-7.322677,-21.571538,-18.638125,-21.037892,-30.884619,-29.491722,-24.483683,-15.357327,-4.637636,-3.995200,-14.985071,-23.798498
20.000000,0.000000,6.000000,0.515805,-0.784454,-2.811837,-5.080383,-1.708709,-1.274066,-5.450939,-1.283342,1.700731,-1.232335,-2.521301,-2.184837,-1.024071,2.703685,8.696218,10.437848,2.058720,-11.796654,-10.438259,-3.851453,-1.584310,-2.992102,-4.961380,-5.979051,-4.503270,-8.698723,-18.253797,-19.646709,-16.167132,-11.592722,-9.032590,-10.609121,-6.298195,-4.952273,-15.123600,-20.828664,-18.626169,-15.361571,-15.077690,-13.387247,-14.248010,-20.037168,-20.105827,-23.815910,-32.299781,-33.513080,-26.819416,-16.230842,-14.606438,-23.989385,-29.171684,-20.503721,-11.030371,-20.314548,-29.394125,-20.802408,-6.130608,-7.358847,-17.029359,-9.316656,2.535746,-4.929393,-12.867303,0.814764,10.218427,-8.665388,-22.561962,-23.266266,-22.410190,-24.202902,-25.719010,-29.420010,-36.293366,-35.499885,-33.866650,-35.753631,-35.432043,-33.004495,-31.694659,-31.764174,-33.728422,-33.682415,-31.714881,-30.443089,-26.997433,-23.130593,-23.892009,-25.054436,-22.940586,-22.154200,-27.868391,-27.430479,-16.790398,-7.925747,-9.236075,-14.293468,-13.757198,-14.152653,-20.140690,-22.735046
20.000000,0.000000,7.000000,-6.979530,-0.597491,2.401093,-0.144520,2.851177,7.176163,5.813566,1.876929,-2.425756,-1.033526,5.929796,5.443325,1.040736,-1.694579,-5.739749,-8.632883,-9.506277,-8.463903,-7.053223,-8.647648,-7.321181,-2.062879,2.074382,9.242143,14.442825,10.968753,6.545645,5.759987,6.567721,11.221487,11.094641,12.382751,16.119354,13.160666,9.246226,12.114095,13.586230,18.458204,13.384772,5.234241,6.695517,2.209946,-1.884755,3.420802,5.400885,11.397268,15.514994,10.614320,12.810484,16.925724,13.435117,10.848045,10.433059,6.451195,1.629183,6.668067,11.697992,5.528067,7.478031,20.949250,21.922504,17.298144,17.053230,16.604110,16.556705,13.691954,2.898510,-2.327306,-4.420214,-8.521070,-6.815676,-1.409357,4.525281,3.323238,2.489816,5.935741,12.935449,9.923682,0.924393,1.425299,0.754395,4.254219,10.191594,12.170747,6.585701,1.211624,0.988933,-0.866974,-0.424488,5.249420,-0.533586,-1.679902,7.122145,18.086303,15.908472,6.078078,7.417652,14.664354,13.035871,8.833424
20.000000,0.000000,8.000000,-16.905846,-22.120237,-19.778168,-14.247872,-14.646024,-14.608268,-11.931897,-2.535014,-6.065008,-4.058792,11.682480,20.630694,19.948838,11.800177,15.945792,24.418859,17.277606,7.948096,4.362197,9.123584,17.127297,11.557096,4.920769,11.951525,18.311074,8.959023,0.473727,4.163307,12.890862,19.313792,16.444536,9.742991,20.273022,23.696260,11.746482,14.637206,20.038618,16.456585,18.117152,11.799498,7.940415,16.470645,14.411824,8.641665,15.697559,20.861531,19.583729,5.042942,0.065651,18.312561,25.455652,24.277883,29.061144,20.562495,6.447362,2.335841,-0.088182,-5.317004,2.424449,9.587239,0.895682,-8.066176,-4.931580,-9.740828,-19.899550,-25.569291,-22.710606,-15.253582,-17.590522,-18.681952,-13.594947,-13.009076,-10.043466,-9.031817,-7.458681,-3.275848,-1.931722,-10.839961,-21.390362,-17.594192,-3.129769,-4.641831,-13.751545,-8.965812,-5.979458,-5.843151,-3.153084,0.733931,-1.755429,-4.286542,2.760962,12.942226,-1.327435,-21.931372,-18.751085,-13.133480,-15.196553,-18.050220,-6.872425,0.700619
20.000000,0.000000,9.000000,-3.397135,-8.325279,-13.191410,-7.230453,-3.101844,-6.602586,-1.220644,6.539812,2.852500,0.431490,4.010642,11.279178,1.710815,-10.554601,0.192780,10.540976,16.107772,10.436308,-2.338382,-0.331958,0.285358,-7.773003,-8.445129,-11.675213,-18.923058,-14.534847,-6.379991,-9.068426,-10.716363,-1.607778,2.254916,5.785692,15.125125,20.487621,23.275736,23.234200,18.496722,10.964054,8.558204,12.259085,5.934830,-8.113203,-8.244269,-0.064260,7.793413,15.446509,18.927907,25.729680,31.983323,30.617181,30.108789,34.429147,30.230682,15.671056,13.253443,14.402586,-0.744866,-6.770291,2.948234,4.095683,2.662751,7.304716,7.526209,-5.800128,-22.579247,-28.353938,-24.664919,-18.503375,-12.906822,-10.085254,-9.496371,-13.664476,-16.597708,-18.577060,-18.871275,-15.644707,-12.603893,-14.180362,-12.555362,-15.997263,-20.565691,-17.360369,-8.443027,-4.088562,-8.088806,-9.629325,-6.136765,-1.310500,-1.660004,-10.354276,-7.138315,1.593202,-0.657541,-3.490664,-6.528518,-10.585422,-5.627255,7.670634,18.231658,18.581999
20.000000,0.000000,10.000000,-10.666455,-4.481942,-1.751714,2.194069,6.809528,1.783712,-5.335282,-3.784273,7.449237,14.881089,9.558986,2.371346,0.209098,-2.367072,-8.553200,-7.626317,-6.269344,-1.700525,4.003416,4.593950,-1.014604,-7.580010,-10.773266,-8.748202,4.084006,5.696307,-2.319052,-8.395414,-16.096679,-17.080877,-8.964369,2.371469,1.285480,-6.314383,-1.249956,5.799586,-2.812752,-16.280742,-19.221359,-9.084070,-7.236790,-12.384662,0.297035,23.069370,24.286466,9.352930,2.053545,-2.626772,-8.040860,-3.281156,1.072015,2.651835,3.831809,-3.785549,-17.955692,-19.864243,-16.698164,-15.938411,-11.216830,-12.495309,-16.247403,-7.044497,-1.238952,-11.224377,-18.075637,-14.227543,-9.794397,-11.225982,-10.870662,-12.861294,-19.050672,-18.024860,-14.913315,-12.382656,-8.982408,-8.776639,-7.346792,-5.452103,-3.212553,-6.801707,-20.072929,-23.968659,-16.275026,-19.153143,-30.517761,-30.378776,-20.111526,-17.485506,-17.499961,-18.301858,-22.926834,-21.955667,-22.174032,-28.593448,-27.696950,-21.670388,-17.700183,-17.255435,-18.507131,-19.240767
