ParticipantID,Condition,Trial,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,Time21,Time22,Time23,Time24,Time25,Time26,Time27,Time28,Time29,Time30,Time31,Time32,Time33,Time34,Time35,Time36,Time37,Time38,Time39,Time40,Time41,Time42,Time43,Time44,Time45,Time46,Time47,Time48,Time49,Time50,Time51,Time52,Time53,Time54,Time55,Time56,Time57,Time58,Time59,Time60,Time61,Time62,Time63,Time64,Time65,Time66,Time67,Time68,Time69,Time70,Time71,Time72,Time73,Time74,Time75,Time76,Time77,Time78,Time79,Time80,Time81,Time82,Time83,Time84,Time85,Time86,Time87,Time88,Time89,Time90,Time91,Time92,Time93,Time94,Time95,Time96,Time97,Time98,Time99,Time100
2.000000,0.000000,1.000000,0.345720,-3.717031,-9.876663,-8.814253,-0.922571,3.495355,4.794957,3.549667,2.679361,0.754537,2.256634,3.219487,3.470933,4.014183,-1.511138,-2.978663,-0.401284,-0.971622,2.549275,4.498617,1.172942,1.394539,-0.195182,-1.407922,5.774807,5.433668,-6.399980,-11.431960,-7.012622,1.532690,3.873947,7.108811,6.794048,0.876735,1.196513,2.274311,1.672170,1.397396,1.742077,6.243683,8.732630,8.449211,9.766702,10.770323,8.517131,1.552121,-2.972464,-0.553980,1.185183,2.731824,1.547885,-6.028005,-3.762915,4.031324,1.259239,-2.215318,5.151286,1.520190,-9.043853,-3.543467,8.799899,4.602359,-1.882800,1.305713,4.334363,6.006579,4.672085,-2.080891,-6.088073,-3.398795,1.833676,0.353810,-5.994708,-4.847714,-3.169413,-6.547861,-12.529688,-13.178243,-5.920927,-3.162237,-7.182742,-9.908177,-12.234007,-13.450734,-7.910316,-1.274114,-0.184791,-4.405175,-7.521797,-13.284490,-16.803942,-10.927157,-6.200075,-6.972265,-5.906217,-2.445519,0.004511,-1.068916,-5.030203,-6.309958
2.000000,0.000000,2.000000,-7.311407,-0.071037,4.784519,5.900613,1.546199,-2.580012,-3.331025,-3.216433,-0.337325,0.860013,1.157123,5.698712,4.109697,-6.758609,-8.234987,-0.004442,4.464146,5.695325,9.694096,16.024504,17.216432,12.912449,5.674949,-0.579046,-5.403564,-4.620403,0.593552,-1.720438,-2.928966,-0.301186,-2.653697,-3.579112,1.046807,4.114648,0.359374,4.219205,14.219584,14.575733,12.931273,11.444213,2.560936,-5.504247,-3.169337,-0.496725,1.375211,12.334127,20.815458,22.819332,29.582926,36.316849,26.982402,14.565408,16.988132,14.932289,6.982636,7.364604,13.574206,13.554255,10.959617,7.938074,3.277631,0.174145,-1.369782,2.656186,8.807634,6.185012,7.441550,12.968454,12.865012,7.958064,2.956120,5.484196,7.146456,2.237987,6.246084,9.503536,4.686388,3.753735,-2.324873,-10.150858,-6.282143,-2.917404,0.998711,8.020096,5.244138,-1.103544,-6.240336,-9.902943,-11.343118,-7.831938,1.559634,3.431193,-4.973409,-6.417243,-0.609972,1.545025,2.046895,0.440861,1.868510,1.474610
2.000000,0.000000,3.000000,7.501094,6.885592,9.178091,5.344258,-2.162966,-4.830693,-7.239771,-2.941096,-2.582415,-6.939066,-2.724592,0.738526,-1.035707,0.827394,0.223998,0.248659,3.061427,0.333231,0.754367,6.127346,2.971325,6.957318,15.464335,13.348631,8.468860,8.064541,4.178065,-0.701145,-2.304784,-0.801127,8.797392,14.352960,14.713609,16.465031,23.467947,32.300627,36.738086,31.580209,24.647140,20.021470,22.957868,28.856672,25.911270,22.975435,22.500756,16.753820,14.437292,19.275291,13.938138,2.534642,-0.313461,-1.044486,-2.806960,-0.904360,5.175157,12.152472,14.885669,13.712228,12.340359,17.173969,21.747716,22.557751,21.203466,15.022230,9.557443,8.790376,13.973750,17.145828,9.903072,6.689617,6.673651,8.723188,17.404357,23.445967,22.139515,16.285664,16.838472,19.463202,19.823246,19.287702,12.159638,10.331194,9.717648,9.131695,13.430557,18.059688,20.125558,19.049315,17.437874,11.268924,7.334965,6.807434,6.839366,13.080852,20.882074,22.105823,17.658975,16.241126,22.548671,29.937239
2.000000,0.000000,4.000000,-2.620683,-0.741533,0.653794,-0.416800,3.161155,6.037548,5.172550,2.422428,-1.170073,-1.446577,-1.969742,-7.014151,-7.645789,-2.540052,2.490484,3.376274,1.070199,-2.901773,-5.566975,-6.468329,-4.143838,-1.557775,1.632655,3.713177,3.565296,6.714316,10.842324,7.784944,5.219425,5.782568,1.412839,-3.534796,-4.814405,1.257704,11.130876,15.750996,13.434619,7.447235,0.964681,0.754249,3.261892,3.843836,8.292744,16.508581,19.056637,14.675598,17.476540,23.153973,19.526928,17.939894,18.383468,10.754019,2.179792,2.229896,5.560742,-0.159297,-7.078404,-7.455363,-4.871226,1.351671,2.949665,0.863689,0.471372,-1.823265,-9.140166,-13.851724,-12.594012,-8.911110,-6.450935,-6.402531,-7.172343,-4.849457,0.418776,5.013938,5.630654,3.237357,-0.546870,-1.122361,3.126436,6.351089,3.833492,3.885672,6.104920,5.863580,13.229264,17.312703,9.735753,0.857155,-0.350081,-2.683442,-0.477680,4.602518,6.232249,11.887049,18.378931,18.763971,17.281900,16.336954,13.970495,10.241759
2.000000,0.000000,5.000000,-7.931197,-5.471038,3.055999,8.708883,4.730607,0.590759,-3.724242,-3.380126,-2.103731,-6.954215,-7.554446,-2.678443,6.179246,12.243279,5.605151,-2.572500,-2.423031,-0.522757,4.134838,4.351044,6.192372,9.271469,0.533371,-3.547970,0.106979,-1.883645,-4.145727,-5.172088,-2.742792,7.369266,10.039414,3.176718,1.921613,9.946098,8.466339,0.091358,-0.409487,5.921638,13.110314,13.291637,8.964440,2.950877,0.399905,8.245104,6.698095,0.357471,10.868629,14.915769,7.498915,1.934413,-2.609699,-6.274771,-6.117073,-4.021150,-4.017121,-6.477814,-5.528518,-4.851876,-7.097252,-1.151826,6.297560,-2.298558,-10.216303,-5.203147,-5.971319,-12.244731,-9.819853,-3.103193,2.546356,2.188409,4.173166,13.136020,10.516968,0.885320,-5.157669,-7.549274,-2.330440,-1.164136,-3.199548,-1.591493,-0.499585,2.096213,5.069351,2.445374,3.786940,9.410989,8.571273,8.160053,13.381411,12.472918,8.177005,8.183264,8.075863,6.565166,-0.110902,-8.766757,-7.281430,-2.829854,-0.930392,2.670630
2.000000,0.000000,6.000000,5.463016,9.579725,8.359158,3.472208,5.941007,8.138621,1.589673,-4.427687,-5.302821,-0.290270,4.848281,4.683160,1.631499,-0.326730,-5.473650,-16.885739,-21.116254,-14.283878,-13.334883,-19.081356,-20.715729,-17.394045,-14.160410,-12.795760,-9.025767,-5.607411,-10.572335,-15.904758,-14.376441,-16.177748,-14.089750,-6.352461,-1.958444,4.111072,9.958961,11.284293,7.787405,1.249135,-2.995669,-7.829832,-13.391066,-11.493568,-5.232386,-2.522519,-1.538929,-0.293630,5.680301,9.628014,13.526214,17.363192,14.055417,8.931320,1.962977,1.840858,7.427980,5.870967,-0.862422,-0.426326,4.427674,7.751939,7.980818,6.378013,5.484698,4.385445,5.267548,2.349618,-1.479762,3.482047,1.848510,-4.248128,-2.852449,1.896016,-2.119923,-12.781936,-17.138976,-12.534497,-11.178602,-15.721712,-18.444643,-12.589722,-2.615454,-1.950307,-2.340313,-1.177037,-4.045682,-7.318876,-0.454842,-0.689817,-4.752899,6.265980,12.304924,8.955727,13.492235,16.226593,10.259660,4.016099,6.022909,10.183492,3.643198,-8.949023
2.000000,0.000000,7.000000,7.884775,0.908325,-3.725909,-2.090606,1.724505,-6.444119,-11.558632,-3.505813,-1.943264,3.133143,12.446894,9.073330,0.479093,-2.838516,0.208819,0.691900,-0.669869,1.584477,-3.952901,-10.238344,-14.375083,-12.913725,-7.685873,-8.989803,-13.785682,-13.873940,-10.072617,-8.901960,-9.087090,-8.410117,-5.651032,-2.540236,1.897376,8.356846,10.106633,4.071004,-3.108800,-11.729634,-9.471725,0.222684,1.440265,0.580686,3.250107,10.276415,14.417935,17.466476,12.788417,6.217177,7.493489,9.517285,7.664857,5.942572,9.951503,13.875141,14.775635,21.510966,23.650637,18.768271,17.488624,13.549673,3.532803,1.587688,1.508595,-0.259000,-1.658069,-1.319278,-1.139267,0.647261,8.983116,14.123020,11.519866,11.136835,12.902089,10.338992,3.308108,5.747949,17.482787,17.066046,4.340114,-3.184355,-4.412183,-6.210285,0.207123,10.869824,12.507844,4.113589,0.159070,-0.367799,-2.422418,-1.117575,6.310374,7.067273,-1.191145,-8.543300,-8.978517,-3.217071,-2.358056,-4.924249,-3.862342,-3.185096
2.000000,0.000000,8.000000,3.718652,-0.945893,-2.866497,-3.929591,-4.075620,1.051364,4.323560,-0.991735,-5.537502,0.690391,10.213785,6.139466,-6.906828,-5.633721,3.602602,5.713495,-2.880517,-12.325900,-15.124409,-17.225490,-15.314695,-7.847210,2.065818,1.826254,-6.043682,-4.382041,-1.162429,-2.169183,-6.183954,-11.023685,-11.581523,-9.480239,-6.996847,-3.741767,1.382571,8.662752,9.632471,4.274495,1.899363,3.332021,8.416270,16.773639,16.639265,7.643041,4.928532,14.522249,21.724263,18.239707,13.087680,11.266813,9.819851,6.179919,3.967983,8.356825,8.965187,-2.459686,-11.662406,-6.521714,-5.975112,-9.723191,-6.254541,0.064249,3.773468,9.599613,15.409137,13.447891,13.216432,13.864880,16.724843,20.588939,18.017967,12.903770,7.163557,6.645731,12.387282,10.571314,9.062959,10.487278,3.516785,0.024845,5.403972,8.847958,5.652355,1.502985,3.381357,6.322962,8.510085,10.347324,9.766676,8.577547,9.608463,10.044390,14.146557,15.948208,9.783739,5.556754,1.569801,-1.388936,-1.959874,-1.171453
2.000000,0.000000,9.000000,11.905842,4.623367,-8.079320,-10.887039,-0.206511,6.739038,2.826234,-3.797373,-6.793736,-9.817806,-5.777292,0.860880,1.649390,4.627037,7.142717,6.464201,4.500017,0.549125,-2.105919,3.696899,9.634676,3.083779,2.740824,6.827830,-1.423681,-7.432859,-9.265567,-15.867199,-15.114352,-10.606023,-9.164996,-3.080518,-2.799865,-8.727976,-5.850087,5.649565,11.252237,7.613363,2.387957,5.073396,6.740691,10.659866,15.828488,16.067288,17.421630,19.421847,20.184336,20.363668,21.091733,18.198831,5.163074,-10.414809,-15.494399,-12.482871,-8.598166,-7.417282,-9.837851,-6.102854,-3.023808,-12.523023,-19.091615,-9.035188,3.775084,9.555932,16.086923,25.035362,24.635347,12.580301,2.044324,2.061721,1.011388,-2.828488,-5.353040,-10.283060,-14.841941,-18.646335,-11.173407,-0.858826,6.552809,12.116119,12.404759,7.629421,2.906145,4.245395,10.088494,9.753466,10.594195,14.849644,10.437382,4.510850,0.780129,2.145358,7.707878,11.336906,13.932466,7.323555,-10.191717,-17.833105,-7.027364,-0.695465
2.000000,0.000000,10.000000,-6.246737,-0.875116,-3.665780,-12.472683,-12.942322,-1.059632,2.553780,0.074563,-2.074637,-5.512659,-4.676005,1.475835,7.979658,13.410964,14.364497,6.317611,0.116544,-2.803501,-10.001737,-12.434810,-11.479866,-15.325632,-19.244205,-20.126304,-16.385317,-8.571509,-3.878547,-1.163709,7.560662,12.496628,9.350991,4.680370,-1.528315,-5.593315,1.291954,4.886535,-2.999762,-9.320598,-12.925016,-13.555100,-14.271014,-9.290533,2.886922,3.871873,0.945792,9.247065,13.815834,1.914517,-2.808241,5.095356,8.552339,0.950780,-10.293256,-10.411665,-10.368286,-17.022560,-19.109488,-10.837204,-0.414607,-3.993005,-8.357169,-3.780608,0.205899,3.645218,7.963391,8.975924,9.492636,7.806616,5.487576,-1.855632,-8.224744,-1.929196,1.009231,-3.816818,-8.325007,-6.406334,-0.096359,8.281488,13.472715,9.958304,-1.881130,-9.379168,-7.991308,-8.538581,-13.092411,-13.821398,-2.655006,9.024236,13.146523,14.485879,5.878305,-9.395340,-16.718480,-11.786873,1.572993,6.901379,-4.142608,-16.107269,-14.142147,-5.722948
