15,14,10000,68,90.81904483,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 20000, 'solver': 'sgd'},
15,15,10000,60,90.70263815,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'sgd'},
15,16,10000,66,90.68597102,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 50000, 'solver': 'sgd'},
15,17,10000,61,92.4481895,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 20000, 'solver': 'sgd'},
15,18,10000,64,90.02394533,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'adaptive', 'max_iter': 20000, 'solver': 'sgd'},
15,19,10000,67,91.29915738,{'activation': 'identity', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'sgd'},
10,0,10000,55,117.9527824,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,100, 20), 'learning_rate': 'adaptive', 'max_iter': 10000, 'solver': 'sgd'}
10,1,10000,59,75.58167624,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 50000, 'solver': 'sgd'},
10,2,10000,61,73.27555609,{'activation': 'identity', 'alpha': 0.05, 'hidden_layer_sizes': (20,100, 20), 'learning_rate': 'constant', 'max_iter': 10000, 'solver': 'sgd'}
10,3,10000,65,72.71886659,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'max_iter': 20000, 'solver': 'sgd'},
10,4,10000,63,73.44577622,{'activation': 'identity', 'alpha': 0.05, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 50000, 'solver': 'sgd'},
10,5,10000,56,74.60311556,{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 5000, 'solver': 'sgd'},
10,6,10000,59,74.03354883,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 10000, 'solver': 'sgd'},
