10,14,0,51,106.5774689,{'activation': 'identity', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'sgd'},
10,15,0,42,106.0568283,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'sgd'},
10,16,0,47,107.3394024,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'sgd'},
10,17,0,48,101.6889262,{'activation': 'logistic', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'sgd'},
10,18,0,63,101.9291604,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (20,100, 20), 'learning_rate': 'adaptive', 'max_iter': 20000, 'solver': 'sgd'}
10,19,0,62,101.4492493,{'activation': 'logistic', 'alpha': 0.05, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 5000, 'solver': 'sgd'},
15,0,0,61,123.2078927,{'activation': 'identity', 'alpha': 0.05, 'hidden_layer_sizes': (20,100, 20), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'sgd'}
15,1,0,51,129.2093217,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (20,100, 20), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'sgd'}
15,2,0,49,144.8702326,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'sgd'},
15,3,0,56,155.3274012,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'sgd'},
15,4,0,44,132.4277849,{'activation': 'identity', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'sgd'},
15,5,0,44,171.9501102,{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 20000, 'solver': 'sgd'},
15,6,0,50,175.4196019,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 20000, 'solver': 'sgd'},
15,7,0,41,130.0431604,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (20,), 'learning_rate': 'invscaling', 'max_iter': 50000, 'solver': 'sgd'},
15,8,0,42,129.1611695,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'invscaling', 'max_iter': 20000, 'solver': 'sgd'},
15,9,0,51,155.8735347,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 50000, 'solver': 'sgd'},
15,10,0,50,131.8559785,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'invscaling', 'max_iter': 20000, 'solver': 'sgd'},
15,11,0,36,131.1210299,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (20,100, 20), 'learning_rate': 'invscaling', 'max_iter': 20000, 'solver': 'sgd'}
15,12,0,47,167.6461999,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 50000, 'solver': 'sgd'},
15,13,0,40,170.3768425,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'sgd'},
15,14,0,60,157.5119908,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 50000, 'solver': 'sgd'},
15,15,0,56,131.2409351,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'invscaling', 'max_iter': 50000, 'solver': 'sgd'},
15,16,0,45,129.8415589,{'activation': 'identity', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'invscaling', 'max_iter': 50000, 'solver': 'sgd'},
15,17,0,41,206.4326496,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'sgd'},
15,18,0,43,131.0524428,{'activation': 'identity', 'alpha': 0.05, 'hidden_layer_sizes': (20,), 'learning_rate': 'invscaling', 'max_iter': 20000, 'solver': 'sgd'},
15,19,0,58,177.9877648,{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'max_iter': 50000, 'solver': 'sgd'},
20,0,0,59,200.6531718,{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'sgd'},
20,1,0,65,182.9290807,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'sgd'},
20,2,0,56,181.6610355,{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 50000, 'solver': 'sgd'},
20,3,0,50,181.8544307,{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'max_iter': 50000, 'solver': 'sgd'},
