060,4,0,68,0.6488902568817139,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,66,1.723395824432373,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,68,1.202789068222046,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,68,1.8093767166137695,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,3,0,62,1.7152314186096191,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,4,0,66,1.5756397247314453,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,0,0,64,0.2642207145690918,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,66,0.25971364974975586,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,2,0,45,0.2571835517883301,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,51,0.25644898414611816,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,61,0.2547340393066406,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,50,0.2640366554260254,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,58,0.25888776779174805,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
010,2,0,68,0.2611253261566162,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,50,0.2633705139160156,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,67,0.26151466369628906,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,66,0.27345871925354004,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,64,0.2896459102630615,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,64,0.27129530906677246,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,47,0.27686190605163574,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,62,0.270399808883667,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,62,0.2870934009552002,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,58,0.3061225414276123,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,66,0.2858102321624756,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,68,0.28906869888305664,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
020,4,0,64,0.31444668769836426,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,65,0.2991220951080322,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
030,1,0,62,0.5397319793701172,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,0,66,0.35713863372802734,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,68,0.4505157470703125,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,59,0.33147215843200684,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
060,0,0,64,0.6871161460876465,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,1,0,60,0.8930952548980713,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,2,0,63,1.889496088027954,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
060,3,0,68,1.585803508758545,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,0,66,0.7161412239074707,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,0,0,68,1.6231846809387207,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,62,2.210120916366577,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,2,0,64,1.5230531692504883,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
100,3,0,68,1.5622708797454834,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,4,0,68,1.4584298133850098,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,55,0.26533985137939453,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,67,0.26061534881591797,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,0,47,0.2591395378112793,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,51,0.2588043212890625,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,61,0.25692081451416016,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,50,0.2665121555328369,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,63,0.2607152462005615,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,69,0.2632734775543213,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,50,0.26479554176330566,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,64,0.26334166526794434,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
015,0,0,65,0.28877711296081543,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,65,0.27906322479248047,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
