060,3,0,50,0.5305037498474121,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,50,0.5372543334960938,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,73,0.9100720882415771,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,49,0.9172754287719727,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,2,0,64,0.9219634532928467,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,3,0,50,0.9224166870117188,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,64,0.9223148822784424,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,48,0.6428084373474121,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,51,0.5913951396942139,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,52,0.646242618560791,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,55,0.5889134407043457,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,50,0.473783016204834,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,66,0.2956993579864502,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
010,1,0,52,0.3265202045440674,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,50,0.2965817451477051,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,66,0.2939760684967041,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,48,0.29491305351257324,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,53,0.31868600845336914,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,0.3184387683868408,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,67,0.31621479988098145,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,3,0,54,0.31774210929870605,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,50,0.31836891174316406,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,0,61,0.3386223316192627,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,69,0.3377830982208252,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,49,0.34080934524536133,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,47,0.3388381004333496,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,60,0.33936548233032227,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,56,0.3776826858520508,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,71,0.3788635730743408,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,0,52,0.37842583656311035,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,62,0.37689781188964844,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,58,0.37851405143737793,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,65,0.5554358959197998,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,42,0.848644495010376,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,0,50,0.9954845905303955,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,62,1.1213064193725586,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,0,68,1.2079555988311768,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,50,1.8881099224090576,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,73,1.2318611145019531,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,50,0.9591643810272217,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,50,0.9498519897460938,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,50,0.9521868228912354,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
