060,3,8000,68,2.4804723262786865,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,8000,64,1.770282506942749,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,0,8000,64,5.593065500259399,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
100,1,8000,67,3.7927370071411133,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,8000,67,3.9751076698303223,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,3,8000,66,5.274132966995239,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,4,8000,62,2.3281123638153076,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,0,8000,66,0.7922964096069336,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,8000,66,3.116647958755493,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,8000,66,0.9446098804473877,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,8000,64,0.6726551055908203,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,4,8000,60,1.5854129791259766,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,8000,61,1.3980557918548584,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,8000,64,0.8635447025299072,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,8000,64,0.4054551124572754,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,8000,53,1.0871481895446777,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
010,4,8000,60,1.6060099601745605,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,8000,67,1.0967097282409668,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,1,8000,59,1.553678274154663,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,2,8000,68,1.5667197704315186,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,8000,67,0.9250452518463135,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,8000,64,0.7969293594360352,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,0,8000,63,1.117006540298462,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
020,1,8000,66,0.8898541927337646,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,8000,67,1.0509469509124756,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,3,8000,64,1.2498018741607666,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,4,8000,64,0.8690650463104248,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,0,8000,67,1.3524301052093506,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,8000,61,2.840454578399658,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,8000,68,0.6832611560821533,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,8000,60,2.44696044921875,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
030,4,8000,66,1.3392550945281982,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,8000,66,2.211426019668579,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
060,1,8000,62,2.3282110691070557,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
060,2,8000,67,1.059920310974121,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,3,8000,67,1.9691288471221924,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,4,8000,68,1.909379482269287,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,8000,64,3.974212169647217,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
100,1,8000,65,4.567149639129639,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,8000,66,4.882078170776367,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,3,8000,68,5.487481594085693,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,8000,62,5.184260606765747,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,0,8000,66,1.253857135772705,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,8000,66,3.9781880378723145,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,8000,64,0.844691276550293,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,8000,67,0.6572275161743164,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,8000,62,1.8562874794006348,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,0,8000,62,0.556751012802124,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,8000,66,1.2218260765075684,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,8000,64,0.7242071628570557,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,8000,53,1.2338919639587402,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,8000,60,1.2691478729248047,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,8000,68,1.1774132251739502,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,8000,66,1.4222991466522217,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
015,2,8000,67,0.9030225276947021,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,8000,68,0.8873188495635986,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
